meas_min,argu_min,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,meas_max,argu_max,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,meas_default,argu_default,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,type
ChangeInsulationRValueForExteriorWalls,r_value,1.96,1.96,1.96,2.06,1.96,2.08,3.23,3.05,3.32,3.6,3.6,3.6,3.6,3.6,3.6,ChangeInsulationRValueForExteriorWalls,r_value,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,4.02,3.82,4.51,4.51,4.97,5.61,ChangeInsulationRValueForExteriorWalls,r_value,1.96,1.96,1.96,2.06,1.96,2.08,3.23,3.05,3.32,4.02,3.82,4.51,4.51,4.97,5.61,3
ChangeInsulationRValueForRoofs,r_value_roof,8.88,8.88,8.88,8.88,8.88,8.88,10.52,10.13,10.64,11.8,11.8,11.8,11.8,11.8,11.8,ChangeInsulationRValueForRoofs,r_value_roof,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,12.77,12.03,15.53,15.53,15.53,15.53,ChangeInsulationRValueForRoofs,r_value_roof,8.88,8.88,8.88,8.88,8.88,8.88,10.52,10.13,10.64,12.77,12.03,15.53,15.53,15.53,15.53,3
ChangeUValueandSHGCOfWindows,window_u_value_ip,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,0.62,0.62,0.62,0.62,0.62,0.62,ChangeUValueandSHGCOfWindows,window_u_value_ip,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,ChangeUValueandSHGCOfWindows,window_u_value_ip,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,0.62,0.62,0.62,0.62,0.62,0.62,2
ChangeUValueandSHGCOfWindows,window_shgc,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.41,0.41,0.41,0.41,0.41,0.41,ChangeUValueandSHGCOfWindows,window_shgc,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,ChangeUValueandSHGCOfWindows,window_shgc,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.41,0.41,0.41,0.41,0.41,0.41,2
ReplaceLightsInSpaceTypeWithLPD,lpd,3.982647,3.982647,3.982647,3.982647,3.982647,3.982647,3.982647,3.982647,3.982647,3.982647,3.982647,3.982647,3.982647,3.982647,3.982647,ReplaceLightsInSpaceTypeWithLPD,lpd,38.10424,38.10424,38.10424,38.10424,38.10424,38.10424,38.10424,38.10424,38.10424,38.10424,38.10424,38.10424,38.10424,38.10424,38.10424,ReplaceLightsInSpaceTypeWithLPD,lpd,18.94448,18.94448,18.94448,18.94448,18.94448,18.94448,18.94448,18.94448,18.94448,18.94448,18.94448,18.94448,18.94448,18.94448,18.94448,3
SetHeatingandCoolingSizingFactors,htg_sz_factor,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,SetHeatingandCoolingSizingFactors,htg_sz_factor,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,SetHeatingandCoolingSizingFactors,htg_sz_factor,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1
SetHeatingandCoolingSizingFactors,clg_sz_factor,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,SetHeatingandCoolingSizingFactors,clg_sz_factor,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,SetHeatingandCoolingSizingFactors,clg_sz_factor,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1
SetWaterHeaterEfficiency,heater_thermal_efficiency,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,SetWaterHeaterEfficiency,heater_thermal_efficiency,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,SetWaterHeaterEfficiency,heater_thermal_efficiency,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,4
AddOverhangsByProjectionFactor,projection_factor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AddOverhangsByProjectionFactor,projection_factor,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,AddOverhangsByProjectionFactor,projection_factor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ChangeOutdoorAir,design_spec_outdoor_air_per_person,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,ChangeOutdoorAir,design_spec_outdoor_air_per_person,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,ChangeOutdoorAir,design_spec_outdoor_air_per_person,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,1
